Ageing Time,C4 (Pred),C4 (Pred)*,C4,AE,SE,RMSE
45.93837535,82.30423669,82.30423669,82.30423669,0,0,
46.16246499,82.28849206,82.28849206,82.28849206,0,0,
46.38655462,82.27261905,82.27261905,82.27261905,0,0,
46.61064426,82.25674603,82.25674603,82.25674603,0,0,
46.83473389,82.24087302,82.24087302,82.24087302,0,0,
47.05882353,82.225,82.225,82.225,0,0,
47.28291317,82.20912698,82.20912698,82.20912698,0,0,
47.5070028,82.19325397,82.19325397,82.19325397,0,0,
47.73109244,82.17738095,82.17738095,82.17738095,0,0,
47.95518207,82.16150794,82.16150794,82.16150794,0,0,
48.17927171,82.14563492,82.14563492,82.14563492,0,0,
48.40336134,82.1297619,82.1297619,82.1297619,0,0,
48.62745098,82.11388889,82.11388889,82.11388889,0,0,
48.85154062,82.09801587,82.09801587,82.09801587,0,0,
49.07563025,82.08214286,82.08214286,82.08214286,0,0,
49.29971989,82.06626984,82.06626984,82.06626984,0,0,
49.52380952,82.05039683,82.05039683,82.05039683,0,0,
49.74789916,82.03452381,82.03452381,82.03452381,0,0,
49.9719888,82.01865079,82.01865079,82.01865079,0,0,
50.19607843,82.00277778,82.00277778,82.00277778,0,0,
50.42016807,81.98690476,81.98690476,81.98690476,0,0,
50.6442577,81.97103175,81.97103175,81.97103175,0,0,
50.86834734,81.95515873,81.95515873,81.95515873,0,0,
51.09243697,81.93928571,81.93928571,81.93928571,0,0,
51.31652661,81.9234127,81.9234127,81.9234127,0,0,
51.54061625,81.90753968,81.90753968,81.90753968,0,0,
51.76470588,81.89166667,81.89166667,81.89166667,0,0,
51.98879552,81.87579365,81.87579365,81.87579365,0,0,
52.21288515,81.85992063,81.85992063,81.85992063,0,0,
52.43697479,81.84404762,81.84404762,81.84404762,0,0,
52.66106443,81.8281746,81.8281746,81.8281746,0,0,
52.88515406,81.81230159,81.81230159,81.81230159,0,0,
53.1092437,81.79642857,81.79642857,81.79642857,0,0,
53.33333333,81.78055556,81.78055556,81.78055556,0,0,
53.55742297,81.76468254,81.76468254,81.76468254,0,0,
53.78151261,81.74880952,81.74880952,81.74880952,0,0,
54.00560224,81.73293651,81.73293651,81.73293651,0,0,
54.22969188,81.71706349,81.71706349,81.71706349,0,0,
54.45378151,81.70119048,81.70119048,81.70119048,0,0,
54.67787115,81.68531746,81.68531746,81.68531746,0,0,
54.90196078,81.66944444,81.66944444,81.66944444,0,0,
55.12605042,81.65357143,81.65357143,81.65357143,0,0,
55.35014006,81.63769841,81.63769841,81.63769841,0,0,
55.57422969,81.6218254,81.6218254,81.6218254,0,0,
55.79831933,81.60595238,81.60595238,81.60595238,0,0,
56.02240896,81.59007937,81.59007937,81.59007937,0,0,
56.2464986,81.57420635,81.57420635,81.57420635,0,0,
56.47058824,81.55833333,81.55833333,81.55833333,0,0,
56.69467787,81.54246032,81.54246032,81.54246032,0,0,
56.91876751,81.5265873,81.5265873,81.5265873,0,0,
57.14285714,81.51071429,81.51071429,81.51071429,0,0,
57.36694678,81.49484127,81.49484127,81.49484127,0,0,
57.59103641,81.47896825,81.47896825,81.47896825,0,0,
57.81512605,81.46309524,81.46309524,81.46309524,0,0,
58.03921569,81.44722222,81.44722222,81.44722222,0,0,
58.26330532,81.43134921,81.43134921,81.43134921,0,0,
58.48739496,81.41547619,81.41547619,81.41547619,0,0,
58.71148459,81.39960317,81.39960317,81.39960317,0,0,
58.93557423,81.38373016,81.38373016,81.38373016,0,0,
59.15966387,81.36785714,81.36785714,81.36785714,0,0,
59.3837535,81.35198413,81.35198413,81.35198413,0,0,
59.60784314,81.33611111,81.33611111,81.33611111,0,0,
59.83193277,81.3202381,81.3202381,81.3202381,0,0,
60.05602241,81.30436508,81.30436508,81.30436508,0,0,
60.28011204,81.28849206,81.28849206,81.28849206,0,0,
60.50420168,81.27261905,81.27261905,81.27261905,0,0,
60.72829132,81.25674603,81.25674603,81.25674603,0,0,
60.95238095,81.24087302,81.24087302,81.24087302,0,0,
61.17647059,81.225,81.225,81.225,0,0,
61.40056022,81.20912698,81.20912698,81.20912698,0,0,
61.62464986,81.19325397,81.19325397,81.19325397,0,0,
61.8487395,81.17738095,81.17738095,81.17738095,0,0,
62.07282913,81.16150794,81.16150794,81.16150794,0,0,
62.29691877,81.14563492,81.14563492,81.14563492,0,0,
62.5210084,81.1297619,81.1297619,81.1297619,0,0,
62.74509804,81.11388889,81.11388889,81.11388889,0,0,
62.96918768,81.09801587,81.09801587,81.09801587,0,0,
63.19327731,81.08214286,81.08214286,81.08214286,0,0,
63.41736695,81.06626984,81.06626984,81.06626984,0,0,
63.64145658,81.05039683,81.05039683,81.05039683,0,0,
63.86554622,81.03452381,81.03452381,81.03452381,0,0,
64.08963585,81.01865079,81.01865079,81.01865079,0,0,
64.31372549,81.00277778,81.00277778,81.00277778,0,0,
64.53781513,80.98690476,80.98690476,80.98690476,0,0,
64.76190476,80.97103175,80.97103175,80.97103175,0,0,
64.9859944,80.95515873,80.95515873,80.95515873,0,0,
65.21008403,80.93928571,80.93928571,80.93928571,0,0,
65.43417367,80.9234127,80.9234127,80.9234127,0,0,
65.65826331,80.90753968,80.90753968,80.90753968,0,0,
65.88235294,80.89166667,80.89166667,80.89166667,0,0,
66.10644258,80.87579365,80.87579365,80.87579365,0,0,
66.33053221,80.85992063,80.85992063,80.85992063,0,0,
66.55462185,80.84404762,80.84404762,80.84404762,0,0,
66.77871148,80.8281746,80.8281746,80.8281746,0,0,
67.00280112,80.81230159,80.81230159,80.81230159,0,0,
67.22689076,80.79642857,80.79642857,80.79642857,0,0,
67.45098039,80.78055556,80.78055556,80.78055556,0,0,
67.67507003,80.76468254,80.76468254,80.76468254,0,0,
67.89915966,80.74880952,80.74880952,80.74880952,0,0,
68.1232493,80.73293651,80.73293651,80.73293651,0,0,
68.34733894,80.71706349,80.71706349,80.71706349,0,0,
68.57142857,80.70119048,80.70119048,80.70119048,0,0,
68.79551821,80.68531746,80.68531746,80.68531746,0,0,
69.01960784,80.66944444,80.66944444,80.66944444,0,0,
69.24369748,80.65357143,80.65357143,80.65357143,0,0,
69.46778711,80.63769841,80.63769841,80.63769841,0,0,
69.69187675,80.6218254,80.6218254,80.6218254,0,0,
69.91596639,80.60595238,80.60595238,80.60595238,0,0,
70.14005602,80.59358077,80.59358077,80.59358077,0,0,
70.36414566,80.58330999,80.58330999,80.58330999,0,0,
70.58823529,80.57303922,80.57303922,80.57303922,0,0,
70.81232493,80.56276844,80.56276844,80.56276844,0,0,
71.03641457,80.55249767,80.55249767,80.55249767,0,0,
71.2605042,80.54222689,80.54222689,80.54222689,0,0,
71.48459384,80.53195612,80.53195612,80.53195612,0,0,
71.70868347,80.52168534,80.52168534,80.52168534,0,0,
71.93277311,80.51141457,80.51141457,80.51141457,0,0,
72.15686275,80.50114379,80.50114379,80.50114379,0,0,
72.38095238,80.49087302,80.49087302,80.49087302,0,0,
72.60504202,80.48060224,80.48060224,80.48060224,0,0,
72.82913165,80.47033147,80.47033147,80.47033147,0,0,
73.05322129,80.46006069,80.46006069,80.46006069,0,0,
73.27731092,80.44978992,80.44978992,80.44978992,0,0,
73.50140056,80.43951914,80.43951914,80.43951914,0,0,
73.7254902,80.42924837,80.42924837,80.42924837,0,0,
73.94957983,80.41897759,80.41897759,80.41897759,0,0,
74.17366947,80.40870682,80.40870682,80.40870682,0,0,
74.3977591,80.39843604,80.39843604,80.39843604,0,0,
74.62184874,80.38816527,80.38816527,80.38816527,0,0,
74.84593838,80.37789449,80.37789449,80.37789449,0,0,
75.07002801,80.36762372,80.36762372,80.36762372,0,0,
75.29411765,80.35735294,80.35735294,80.35735294,0,0,
75.51820728,80.34708217,80.34708217,80.34708217,0,0,
75.74229692,80.33681139,80.33681139,80.33681139,0,0,
75.96638655,80.32654062,80.32654062,80.32654062,0,0,
76.19047619,80.31626984,80.31626984,80.31626984,0,0,
76.41456583,80.30599907,80.30599907,80.30599907,0,0,
76.63865546,80.29572829,80.29572829,80.29572829,0,0,
76.8627451,80.28545752,80.28545752,80.28545752,0,0,
77.08683473,80.27518674,80.27518674,80.27518674,0,0,
77.31092437,80.26491597,80.26491597,80.26491597,0,0,
77.53501401,80.25464519,80.25464519,80.25464519,0,0,
77.75910364,80.24437442,80.24437442,80.24437442,0,0,
77.98319328,80.23410364,80.23410364,80.23410364,0,0,
78.20728291,80.22383287,80.22383287,80.22383287,0,0,
78.43137255,80.21356209,80.21356209,80.21356209,0,0,
78.65546218,80.20329132,80.20329132,80.20329132,0,0,
78.87955182,80.19302054,80.19302054,80.19302054,0,0,
79.10364146,80.18274977,80.18274977,80.18274977,0,0,
79.32773109,80.17247899,80.17247899,80.17247899,0,0,
79.55182073,80.16220822,80.16220822,80.16220822,0,0,
79.77591036,80.15193744,80.15193744,80.15193744,0,0,
80,80.14166667,80.14166667,80.14166667,0,0,
80.22408964,80.13139589,80.13139589,80.13139589,0,0,
80.44817927,80.12112512,80.12112512,80.12112512,0,0,
80.67226891,80.11085434,80.11085434,80.11085434,0,0,
80.89635854,80.10058357,80.10058357,80.10058357,0,0,
81.12044818,80.09031279,80.09031279,80.09031279,0,0,
81.34453782,80.08004202,80.08004202,80.08004202,0,0,
81.56862745,80.06977124,80.06977124,80.06977124,0,0,
81.79271709,80.05950047,80.05950047,80.05950047,0,0,
