Ageing Time,C3,C3 (Pred)*,C3 (True),AE,SE,RMSE
140.952381,79.4218254,79.4218254,79.4218254,0,0,
141.1764706,79.41715686,79.41715686,79.41715686,0,0,
141.4005602,79.41248833,79.41248833,79.41248833,0,0,
141.6246499,79.40781979,79.40781979,79.40781979,0,0,
141.8487395,79.40315126,79.40315126,79.40315126,0,0,
142.0728291,79.39817927,79.39817927,79.39817927,0,0,
142.2969188,79.39257703,79.39257703,79.39257703,0,0,
142.5210084,79.38697479,79.38697479,79.38697479,0,0,
142.745098,79.38137255,79.38137255,79.38137255,0,0,
142.9691877,79.37577031,79.37577031,79.37577031,0,0,
143.1932773,79.37016807,79.37016807,79.37016807,0,0,
143.4173669,79.36456583,79.36456583,79.36456583,0,0,
143.6414566,79.35896359,79.35896359,79.35896359,0,0,
143.8655462,79.35336134,79.35336134,79.35336134,0,0,
144.0896359,79.3477591,79.3477591,79.3477591,0,0,
144.3137255,79.34215686,79.34215686,79.34215686,0,0,
144.5378151,79.33655462,79.33655462,79.33655462,0,0,
144.7619048,79.33095238,79.33095238,79.33095238,0,0,
144.9859944,79.32535014,79.32535014,79.32535014,0,0,
145.210084,79.3197479,79.3197479,79.3197479,0,0,
145.4341737,79.31414566,79.31414566,79.31414566,0,0,
145.6582633,79.30854342,79.30854342,79.30854342,0,0,
145.8823529,79.30294118,79.30294118,79.30294118,0,0,
146.1064426,79.29733894,79.29733894,79.29733894,0,0,
146.3305322,79.29173669,79.29173669,79.29173669,0,0,
146.5546218,79.28613445,79.28613445,79.28613445,0,0,
146.7787115,79.28053221,79.28053221,79.28053221,0,0,
147.0028011,79.27492997,79.27492997,79.27492997,0,0,
147.2268908,79.26932773,79.26932773,79.26932773,0,0,
147.4509804,79.26372549,79.26372549,79.26372549,0,0,
147.67507,79.25812325,79.25812325,79.25812325,0,0,
147.8991597,79.25252101,79.25252101,79.25252101,0,0,
148.1232493,79.24691877,79.24691877,79.24691877,0,0,
148.3473389,79.24131653,79.24131653,79.24131653,0,0,
148.5714286,79.23571429,79.23571429,79.23571429,0,0,
148.7955182,79.23011204,79.23011204,79.23011204,0,0,
149.0196078,79.2245098,79.2245098,79.2245098,0,0,
149.2436975,79.21890756,79.21890756,79.21890756,0,0,
149.4677871,79.21330532,79.21330532,79.21330532,0,0,
149.6918768,79.20770308,79.20770308,79.20770308,0,0,
149.9159664,79.20210084,79.20210084,79.20210084,0,0,
150.140056,79.1964986,79.1964986,79.1964986,0,0,
150.3641457,79.19089636,79.19089636,79.19089636,0,0,
150.5882353,79.18529412,79.18529412,79.18529412,0,0,
150.8123249,79.17969188,79.17969188,79.17969188,0,0,
151.0364146,79.17408964,79.17408964,79.17408964,0,0,
151.2605042,79.16848739,79.16848739,79.16848739,0,0,
151.4845938,79.16288515,79.16288515,79.16288515,0,0,
151.7086835,79.15728291,79.15728291,79.15728291,0,0,
151.9327731,79.15168067,79.15168067,79.15168067,0,0,
152.1568627,79.14607843,79.14607843,79.14607843,0,0,
152.3809524,79.14047619,79.14047619,79.14047619,0,0,
152.605042,79.13487395,79.13487395,79.13487395,0,0,
152.8291317,79.12927171,79.12927171,79.12927171,0,0,
153.0532213,79.12366947,79.12366947,79.12366947,0,0,
153.2773109,79.11806723,79.11806723,79.11806723,0,0,
153.5014006,79.11246499,79.11246499,79.11246499,0,0,
153.7254902,79.10686275,79.10686275,79.10686275,0,0,
153.9495798,79.1012605,79.1012605,79.1012605,0,0,
154.1736695,79.09565826,79.09565826,79.09565826,0,0,
154.3977591,79.09005602,79.09005602,79.09005602,0,0,
154.6218487,79.08445378,79.08445378,79.08445378,0,0,
154.8459384,79.07885154,79.07885154,79.07885154,0,0,
155.070028,79.0732493,79.0732493,79.0732493,0,0,
155.2941176,79.06764706,79.06764706,79.06764706,0,0,
155.5182073,79.06204482,79.06204482,79.06204482,0,0,
155.7422969,79.05644258,79.05644258,79.05644258,0,0,
155.9663866,79.05084034,79.05084034,79.05084034,0,0,
156.1904762,79.0452381,79.0452381,79.0452381,0,0,
156.4145658,79.03963585,79.03963585,79.03963585,0,0,
156.6386555,79.03403361,79.03403361,79.03403361,0,0,
156.8627451,79.02843137,79.02843137,79.02843137,0,0,
157.0868347,79.02282913,79.02282913,79.02282913,0,0,
157.3109244,79.01722689,79.01722689,79.01722689,0,0,
